card_transaction_id,card_id,transaction_date,amount_inr,merchant,txn_type
20000120,7000006,2023-07-06,78036.73,Zomato,CASH_WITHDRAWAL
20000121,7000006,2024-09-19,157601.74,Myntra,CASH_WITHDRAWAL
20000122,7000006,2025-12-03,18428.26,Swiggy,FEE
20000123,7000006,2023-08-03,36073.74,Swiggy,REFUND
20000124,7000006,2024-06-25,132197.43,Swiggy,FEE
20000125,7000006,2025-11-09,143881.76,Swiggy,CASH_WITHDRAWAL
20000126,7000006,2023-09-17,13501.25,Local Store,PURCHASE
20000127,7000006,2024-04-17,27064.18,Flipkart,CASH_WITHDRAWAL
20000128,7000006,2023-02-20,199917.52,BigBasket,CASH_WITHDRAWAL
20000129,7000006,2024-03-03,173693.34,Flipkart,REFUND
20000130,7000006,2024-01-19,150985.12,Local Store,CASH_WITHDRAWAL
20000131,7000006,2025-04-19,16435.61,Amazon,FEE
20000132,7000006,2023-04-07,50691.68,Local Store,FEE
20000133,7000006,2024-03-17,3346.9,Amazon,REFUND
20000134,7000006,2025-07-01,157938.41,Flipkart,PURCHASE
20000135,7000006,2025-04-11,62779.46,Local Store,PURCHASE
20000136,7000006,2024-03-06,91797.01,Uber,PURCHASE
20000137,7000006,2024-03-24,64791.19,Swiggy,PURCHASE
20000138,7000006,2025-06-08,63506.82,BigBasket,REFUND
20000139,7000006,2025-11-10,71141.51,Uber,FEE
20000140,7000006,2024-09-08,45818.85,Myntra,FEE
20000141,7000006,2023-09-21,63645.77,Zomato,FEE
20000142,7000006,2023-03-05,107747.34,Uber,FEE
20000143,7000006,2024-03-10,73527.25,Local Store,PURCHASE
20000144,7000006,2024-09-09,143909.56,BigBasket,REFUND
20000145,7000006,2025-12-17,165244.63,Local Store,CASH_WITHDRAWAL
20000146,7000006,2024-04-15,30805.89,BigBasket,CASH_WITHDRAWAL
20000147,7000006,2025-09-21,129753.6,Swiggy,PURCHASE
20000148,7000006,2025-06-29,179935.0,BigBasket,REFUND
20000149,7000006,2025-03-30,97353.25,Uber,CASH_WITHDRAWAL
20000150,7000006,2023-02-23,34678.31,Amazon,CASH_WITHDRAWAL
20000151,7000006,2023-10-22,169414.01,Amazon,REFUND
20000152,7000006,2023-09-25,170389.93,Zomato,PURCHASE
20000153,7000006,2024-10-02,124809.26,Zomato,REFUND
20000154,7000006,2025-02-11,128661.04,Amazon,PURCHASE
20000155,7000006,2026-01-06,175259.34,Myntra,FEE
20000156,7000007,2024-06-12,41144.06,Myntra,FEE
20000157,7000007,2024-11-05,195736.32,Zomato,FEE
20000158,7000007,2023-07-27,72554.81,Flipkart,FEE
20000159,7000007,2025-04-06,143140.8,Myntra,CASH_WITHDRAWAL
20000160,7000007,2024-09-25,45489.33,Amazon,FEE
20000161,7000007,2023-12-04,2541.04,Myntra,REFUND
20000162,7000007,2023-07-29,62876.07,Local Store,FEE
20000163,7000007,2023-04-15,171891.59,Swiggy,FEE
20000164,7000007,2025-08-05,168341.21,Zomato,REFUND
20000165,7000007,2023-06-15,131318.35,Zomato,PURCHASE
20000166,7000007,2025-06-26,125342.86,Uber,PURCHASE
20000167,7000007,2025-06-11,109746.94,Flipkart,CASH_WITHDRAWAL
20000168,7000007,2023-03-17,190461.21,Flipkart,REFUND
20000169,7000007,2024-06-22,72043.06,Zomato,FEE
20000170,7000007,2024-06-29,106329.12,BigBasket,FEE
20000171,7000008,2024-09-05,28152.22,BigBasket,PURCHASE
20000172,7000008,2023-01-31,190472.21,Uber,FEE
20000173,7000008,2024-05-31,80465.88,BigBasket,REFUND
20000174,7000008,2024-10-28,163655.49,Uber,CASH_WITHDRAWAL
20000175,7000008,2025-07-11,168154.34,Zomato,PURCHASE
20000176,7000008,2023-01-29,54007.0,Flipkart,FEE
20000177,7000008,2024-02-12,14343.62,Amazon,PURCHASE
20000178,7000008,2023-04-21,145220.5,Myntra,FEE
20000179,7000008,2025-01-22,2949.41,Amazon,REFUND
20000180,7000008,2024-12-18,180539.67,Myntra,REFUND
20000181,7000008,2026-01-02,11507.2,Amazon,REFUND
20000182,7000008,2025-09-30,16797.29,Myntra,PURCHASE
20000183,7000008,2023-12-13,163298.9,Amazon,FEE
20000184,7000008,2023-12-17,27905.86,Amazon,FEE
20000185,7000008,2023-09-29,19646.47,Uber,FEE
20000186,7000008,2025-07-16,108938.78,Flipkart,FEE
20000187,7000008,2024-05-26,99930.12,Swiggy,FEE
20000188,7000008,2023-04-27,49712.63,Myntra,REFUND
20000189,7000008,2024-02-03,5765.76,Uber,PURCHASE
20000190,7000008,2025-09-23,62213.52,Myntra,CASH_WITHDRAWAL
20000191,7000008,2025-02-02,34465.76,Uber,FEE
20000192,7000008,2023-06-22,175792.89,Uber,CASH_WITHDRAWAL
20000193,7000008,2025-10-05,149085.38,Myntra,FEE
20000194,7000008,2023-03-29,147469.44,Flipkart,PURCHASE
20000195,7000008,2023-01-19,161963.58,Uber,REFUND
20000196,7000008,2023-06-15,193314.99,BigBasket,CASH_WITHDRAWAL
20000197,7000008,2024-06-22,143268.88,Amazon,PURCHASE
20000198,7000008,2024-08-27,164022.07,Local Store,FEE
20000199,7000009,2023-06-17,189121.85,Amazon,FEE
20000200,7000009,2023-12-19,27972.11,BigBasket,FEE
20000201,7000009,2024-09-28,162315.28,Flipkart,FEE
20000202,7000009,2023-04-11,82104.75,Local Store,CASH_WITHDRAWAL
20000203,7000009,2023-01-20,42925.79,Myntra,PURCHASE
20000204,7000009,2025-08-18,197799.17,Local Store,CASH_WITHDRAWAL
20000205,7000009,2024-10-24,56929.6,Amazon,FEE
20000206,7000009,2025-04-18,60924.12,Local Store,FEE
20000207,7000009,2025-02-09,199446.25,BigBasket,REFUND
20000208,7000009,2023-11-14,160916.44,Myntra,CASH_WITHDRAWAL
20000209,7000009,2025-09-09,12995.74,Zomato,PURCHASE
20000210,7000009,2024-09-24,128839.75,Myntra,CASH_WITHDRAWAL
20000211,7000009,2024-08-04,170534.61,Myntra,REFUND
20000212,7000009,2023-02-25,196841.44,Local Store,FEE
20000213,7000009,2024-08-29,96478.73,Myntra,FEE
20000214,7000009,2024-05-23,101181.59,Local Store,FEE
20000215,7000009,2023-09-29,19206.75,Local Store,PURCHASE
20000216,7000009,2024-09-05,103392.57,Myntra,PURCHASE
20000217,7000009,2023-06-18,193084.34,BigBasket,PURCHASE
20000218,7000009,2025-10-10,32417.84,Local Store,FEE
20000219,7000009,2026-01-03,172899.73,Uber,FEE
20000220,7000009,2024-04-05,140418.38,Zomato,REFUND
20000221,7000009,2023-08-26,108219.37,Zomato,CASH_WITHDRAWAL
20000222,7000009,2024-07-19,59186.2,Local Store,REFUND
20000223,7000009,2023-05-30,50448.3,Amazon,CASH_WITHDRAWAL
20000224,7000009,2025-01-01,30613.63,Swiggy,CASH_WITHDRAWAL
20000225,7000009,2024-02-29,192490.28,Flipkart,FEE
20000226,7000009,2023-05-29,78804.84,Swiggy,CASH_WITHDRAWAL
20000227,7000009,2024-08-13,114619.82,BigBasket,REFUND
20000228,7000009,2023-04-18,96811.87,Myntra,CASH_WITHDRAWAL
20000229,7000009,2024-12-11,2937.21,Amazon,CASH_WITHDRAWAL
20000230,7000009,2024-05-05,175174.23,Swiggy,FEE
20000231,7000009,2023-04-16,157929.7,Flipkart,PURCHASE
20000232,7000009,2024-05-22,166514.68,BigBasket,FEE
20000233,7000009,2023-08-08,50418.35,Local Store,PURCHASE
20000234,7000009,2025-09-18,142611.38,Amazon,FEE
20000235,7000009,2023-10-05,20252.07,Flipkart,FEE
20000236,7000009,2023-12-06,58867.36,Uber,PURCHASE
20000237,7000009,2023-08-03,125614.86,Uber,REFUND
20000238,7000009,2025-10-21,105982.27,BigBasket,CASH_WITHDRAWAL
20000239,7000009,2024-10-12,25340.91,Swiggy,CASH_WITHDRAWAL
20000240,7000009,2024-10-23,52712.73,Amazon,PURCHASE
20000241,7000009,2025-12-24,52337.0,BigBasket,CASH_WITHDRAWAL
20000242,7000009,2023-02-26,73395.48,Amazon,REFUND
20000243,7000009,2024-01-30,174139.67,Local Store,CASH_WITHDRAWAL
20000244,7000009,2025-09-05,6214.7,Amazon,FEE
20000245,7000009,2023-10-17,112913.68,Zomato,REFUND
20000246,7000009,2025-01-13,47804.58,Local Store,REFUND
20000247,7000009,2023-10-21,57797.53,Swiggy,PURCHASE
20000248,7000009,2026-01-09,158440.75,Local Store,REFUND
20000249,7000009,2024-03-25,193646.37,Flipkart,PURCHASE
20000250,7000009,2024-10-28,174704.05,Swiggy,REFUND
20000251,7000009,2025-04-12,81866.81,Amazon,CASH_WITHDRAWAL
20000252,7000010,2024-12-30,43077.19,Uber,CASH_WITHDRAWAL
20000253,7000010,2023-10-17,24464.33,BigBasket,CASH_WITHDRAWAL
20000254,7000010,2023-04-30,89121.05,Uber,FEE
20000255,7000010,2023-09-12,144956.84,Uber,CASH_WITHDRAWAL
20000256,7000010,2025-02-09,127653.58,Uber,FEE
20000257,7000010,2024-06-01,36735.74,Myntra,CASH_WITHDRAWAL
20000258,7000010,2024-12-01,85630.47,Zomato,REFUND
20000259,7000010,2023-04-17,134134.69,Zomato,FEE
20000260,7000010,2024-09-24,1007.94,Amazon,FEE
20000261,7000010,2024-12-11,76530.28,Zomato,FEE
20000262,7000010,2023-12-31,176089.42,BigBasket,REFUND
20000263,7000010,2023-07-12,26148.08,Myntra,PURCHASE
20000264,7000010,2024-11-22,175916.03,Zomato,REFUND
20000265,7000010,2024-04-15,69189.34,Local Store,PURCHASE
20000266,7000010,2025-03-25,17808.33,BigBasket,PURCHASE
20000267,7000010,2024-08-04,173284.51,Amazon,CASH_WITHDRAWAL
20000268,7000010,2023-07-13,34587.19,Flipkart,FEE
20000269,7000010,2023-11-07,93322.98,Zomato,REFUND
20000270,7000010,2024-02-21,101590.55,Zomato,CASH_WITHDRAWAL
20000271,7000010,2024-06-23,78642.95,Myntra,CASH_WITHDRAWAL
20000272,7000010,2023-02-07,165717.58,BigBasket,PURCHASE
20000273,7000010,2024-09-27,77761.63,Myntra,CASH_WITHDRAWAL
20000274,7000010,2023-11-13,166624.46,BigBasket,PURCHASE
20000275,7000010,2023-02-20,50475.75,Zomato,FEE
20000276,7000010,2025-11-29,17790.0,Uber,CASH_WITHDRAWAL
20000277,7000010,2023-10-29,43684.85,Amazon,CASH_WITHDRAWAL
20000278,7000010,2023-06-04,145949.11,Myntra,PURCHASE
20000279,7000010,2025-06-07,48547.14,Local Store,FEE
20000280,7000010,2023-10-19,79920.74,BigBasket,FEE
20000281,7000010,2024-10-11,28300.94,Local Store,FEE
20000282,7000010,2023-12-18,115998.18,Uber,REFUND
20000283,7000010,2023-08-29,22307.39,Swiggy,PURCHASE
20000284,7000010,2023-12-23,10717.72,Flipkart,FEE
20000285,7000010,2025-02-06,145126.14,Uber,CASH_WITHDRAWAL
20000286,7000010,2024-08-18,190736.68,Zomato,REFUND
20000287,7000010,2023-06-16,127998.67,Amazon,REFUND
20000288,7000010,2025-06-26,199134.31,Amazon,CASH_WITHDRAWAL
20000289,7000010,2025-06-16,92524.78,Amazon,REFUND
20000290,7000010,2025-10-24,128527.71,Flipkart,REFUND
20000291,7000010,2025-10-02,50570.34,Local Store,FEE
20000292,7000010,2023-04-28,50174.99,Flipkart,PURCHASE
20000293,7000010,2025-03-14,106207.57,Amazon,PURCHASE
20000294,7000010,2025-11-21,27705.62,BigBasket,REFUND
20000295,7000010,2023-09-27,122803.27,BigBasket,FEE
20000296,7000010,2025-11-27,149361.33,Myntra,CASH_WITHDRAWAL
20000297,7000010,2025-12-21,153699.01,Amazon,CASH_WITHDRAWAL
20000298,7000010,2023-02-08,62354.29,Myntra,PURCHASE
20000299,7000010,2024-09-16,148889.21,Amazon,FEE
20000300,7000010,2023-06-05,129737.81,Myntra,CASH_WITHDRAWAL
20000301,7000010,2024-06-24,186650.01,Myntra,REFUND
20000302,7000010,2024-09-16,81370.34,Uber,REFUND
20000303,7000011,2025-04-02,90356.77,Swiggy,PURCHASE
20000304,7000011,2024-08-05,148328.09,Zomato,REFUND
20000305,7000011,2025-09-05,33241.56,Local Store,REFUND
20000306,7000011,2025-07-15,91697.91,Uber,PURCHASE
20000307,7000011,2024-11-29,44179.74,Local Store,FEE
20000308,7000011,2024-02-26,60023.19,BigBasket,CASH_WITHDRAWAL
20000309,7000011,2023-05-14,31345.54,Myntra,REFUND
20000310,7000011,2025-03-07,172934.26,BigBasket,PURCHASE
20000311,7000011,2025-12-20,19680.23,Local Store,CASH_WITHDRAWAL
20000312,7000011,2023-06-05,165430.79,BigBasket,REFUND
20000313,7000011,2024-10-13,111263.12,Zomato,CASH_WITHDRAWAL
20000314,7000011,2025-04-12,160560.12,BigBasket,PURCHASE
20000315,7000011,2024-07-01,129419.2,Uber,REFUND
20000316,7000011,2023-11-02,40748.82,Amazon,PURCHASE
20000317,7000011,2024-10-12,80935.57,Local Store,REFUND
20000318,7000011,2023-12-13,133437.16,Local Store,PURCHASE
20000319,7000011,2025-09-19,79265.25,BigBasket,CASH_WITHDRAWAL
20000320,7000011,2023-06-26,76657.52,Local Store,PURCHASE
20000321,7000011,2025-07-19,198770.84,Flipkart,PURCHASE
20000322,7000011,2023-07-26,104557.69,Myntra,REFUND
20000323,7000011,2025-06-11,79334.82,Uber,CASH_WITHDRAWAL
20000324,7000011,2025-10-29,73975.07,Flipkart,FEE
20000325,7000011,2023-11-30,182018.68,Uber,CASH_WITHDRAWAL
20000326,7000011,2023-09-19,132069.32,Zomato,FEE
20000327,7000011,2023-07-14,143049.23,BigBasket,PURCHASE
20000328,7000011,2024-08-12,163002.69,BigBasket,REFUND
20000329,7000011,2024-04-23,120412.73,Zomato,REFUND
20000330,7000011,2025-05-15,54701.47,Myntra,PURCHASE
20000331,7000011,2024-03-04,191901.1,Amazon,FEE
20000332,7000011,2024-07-19,69100.9,Swiggy,REFUND
20000333,7000011,2023-04-24,186027.37,Myntra,FEE
20000334,7000011,2025-07-27,178316.14,Uber,REFUND
20000335,7000011,2025-12-21,45399.08,BigBasket,REFUND
20000336,7000011,2025-04-04,94726.25,Amazon,REFUND
20000337,7000011,2023-04-29,119452.37,Zomato,PURCHASE
20000338,7000011,2023-05-31,110574.23,Flipkart,CASH_WITHDRAWAL
20000339,7000011,2024-01-24,104433.37,Amazon,PURCHASE
20000340,7000011,2025-11-09,10600.42,Flipkart,FEE
20000341,7000011,2023-12-19,77495.86,Uber,REFUND
20000342,7000011,2023-03-14,54997.25,Zomato,CASH_WITHDRAWAL
20000343,7000011,2025-06-26,20877.05,Zomato,REFUND
20000344,7000011,2023-08-16,190905.13,Uber,CASH_WITHDRAWAL
20000345,7000011,2025-06-30,9072.74,Flipkart,REFUND
20000346,7000011,2025-03-24,3489.08,Swiggy,FEE
20000347,7000011,2025-12-23,191844.53,Uber,PURCHASE
20000348,7000011,2025-03-08,133866.66,Local Store,REFUND
20000349,7000011,2024-08-06,7987.75,Local Store,CASH_WITHDRAWAL
20000350,7000011,2025-05-10,70378.58,Amazon,REFUND
20000351,7000011,2023-03-02,121083.47,Swiggy,FEE
20000352,7000011,2025-07-29,97018.86,Myntra,PURCHASE
20000353,7000011,2023-08-08,48911.68,Swiggy,CASH_WITHDRAWAL
20000354,7000011,2023-07-21,60832.1,Myntra,CASH_WITHDRAWAL
20000355,7000011,2025-03-24,148829.56,Amazon,PURCHASE
20000356,7000011,2024-06-28,70395.38,Myntra,REFUND
20000357,7000011,2024-07-25,67481.52,Flipkart,CASH_WITHDRAWAL
20000358,7000011,2024-04-02,60403.77,Swiggy,FEE
20000359,7000011,2024-08-22,130551.07,Local Store,PURCHASE
20000360,7000011,2025-04-18,58617.66,Zomato,CASH_WITHDRAWAL
20000361,7000011,2025-11-10,186439.28,Amazon,CASH_WITHDRAWAL
20000362,7000011,2023-11-10,195080.8,Local Store,REFUND
20000363,7000012,2025-12-30,16299.27,Amazon,FEE
20000364,7000012,2023-09-06,152632.27,Local Store,REFUND
20000365,7000012,2025-04-08,193079.28,Amazon,CASH_WITHDRAWAL
20000366,7000012,2025-12-28,96784.05,Zomato,FEE
20000367,7000012,2025-06-28,52101.17,Uber,CASH_WITHDRAWAL
20000368,7000012,2025-01-21,177603.5,BigBasket,PURCHASE
20000369,7000012,2023-10-26,64282.96,Amazon,PURCHASE
20000370,7000012,2025-11-03,51763.82,Amazon,REFUND
20000371,7000012,2023-08-17,146105.88,Uber,PURCHASE
20000372,7000012,2024-08-17,30969.56,Local Store,REFUND
20000373,7000012,2025-10-06,74998.26,Amazon,REFUND
20000374,7000012,2023-11-02,56245.68,Amazon,PURCHASE
20000375,7000012,2025-03-03,163001.96,Flipkart,REFUND
20000376,7000012,2024-06-21,35149.5,Swiggy,FEE
20000377,7000012,2023-12-21,72876.44,BigBasket,FEE
20000378,7000012,2024-08-08,27342.07,Swiggy,FEE
20000379,7000012,2025-11-30,191106.42,Myntra,PURCHASE
20000380,7000012,2024-05-08,50647.08,Swiggy,REFUND
20000381,7000012,2025-01-29,103754.01,Local Store,FEE
20000382,7000012,2024-10-31,157753.23,BigBasket,FEE
20000383,7000012,2023-10-07,128879.97,Flipkart,PURCHASE
20000384,7000012,2024-09-27,75359.86,Flipkart,REFUND
20000385,7000012,2025-05-01,102458.88,Uber,FEE
20000386,7000012,2025-11-07,132482.56,Swiggy,FEE
20000387,7000012,2025-10-29,82509.71,Zomato,CASH_WITHDRAWAL
20000388,7000012,2024-11-16,125887.73,Uber,FEE
20000389,7000012,2025-12-29,160073.46,Flipkart,PURCHASE
20000390,7000012,2023-11-05,120695.18,Local Store,CASH_WITHDRAWAL
20000391,7000012,2023-10-04,187987.71,Local Store,REFUND
20000392,7000012,2023-06-17,98418.33,Myntra,PURCHASE
20000393,7000012,2024-02-17,190264.45,Swiggy,CASH_WITHDRAWAL
20000394,7000012,2025-03-13,62043.63,BigBasket,PURCHASE
20000395,7000012,2025-07-27,38699.32,Zomato,PURCHASE
20000396,7000012,2023-12-31,23382.6,Local Store,REFUND
20000397,7000013,2025-04-11,161969.9,Flipkart,PURCHASE
20000398,7000013,2025-10-29,176775.04,Swiggy,CASH_WITHDRAWAL
20000399,7000013,2024-10-06,185391.69,BigBasket,PURCHASE
20000400,7000013,2025-07-26,34131.18,Uber,REFUND
20000401,7000013,2023-09-25,152564.75,BigBasket,CASH_WITHDRAWAL
20000402,7000013,2024-07-31,182671.53,Myntra,PURCHASE
20000403,7000013,2024-02-13,91144.78,Local Store,FEE
20000404,7000013,2025-09-02,16947.58,Myntra,FEE
20000405,7000013,2024-11-16,75542.65,Amazon,REFUND
20000406,7000013,2025-12-30,97335.51,Flipkart,CASH_WITHDRAWAL
20000407,7000013,2025-08-30,45654.92,Local Store,CASH_WITHDRAWAL
20000408,7000013,2023-05-26,86657.03,BigBasket,FEE
20000409,7000013,2023-08-20,148121.35,Myntra,REFUND
20000410,7000013,2025-04-05,130711.62,Zomato,CASH_WITHDRAWAL
20000411,7000013,2023-10-31,85503.5,Zomato,PURCHASE
20000412,7000013,2024-11-27,175900.98,Flipkart,FEE
20000413,7000013,2025-08-08,2371.76,Amazon,PURCHASE
20000414,7000013,2023-04-18,82512.2,BigBasket,PURCHASE
20000415,7000013,2025-10-25,3344.11,Uber,CASH_WITHDRAWAL
20000416,7000013,2025-04-04,99829.61,Myntra,FEE
20000417,7000013,2025-05-04,137629.65,Amazon,CASH_WITHDRAWAL
20000418,7000013,2025-12-29,195022.68,Zomato,PURCHASE
20000419,7000013,2025-04-21,56383.22,Local Store,PURCHASE
20000420,7000013,2025-01-07,96712.82,Local Store,CASH_WITHDRAWAL
20000421,7000013,2023-10-25,74850.4,Local Store,CASH_WITHDRAWAL
20000422,7000013,2023-10-13,117937.35,Local Store,FEE
20000423,7000013,2026-01-17,178836.14,Myntra,REFUND
20000424,7000013,2024-08-27,127238.36,Uber,REFUND
20000425,7000013,2024-02-06,198916.97,Swiggy,PURCHASE
20000426,7000014,2025-01-14,59373.85,Local Store,PURCHASE
20000427,7000014,2025-06-14,4460.32,Local Store,CASH_WITHDRAWAL
