repayment_id,loan_id,due_date,paid_date,amount_inr,status
12000068,9000002,2023-11-25,2023-11-26,30371.54,PAID
12000069,9000002,2023-12-25,2024-01-09,30371.54,PAID
12000070,9000002,2024-01-25,2024-01-26,30371.54,PAID
12000071,9000002,2024-02-25,2024-03-06,30371.54,PAID
12000072,9000002,2024-03-25,2024-04-01,30371.54,PAID
12000073,9000002,2024-04-25,2024-05-02,30371.54,PAID
12000074,9000002,2024-05-25,2024-05-26,30371.54,PAID
12000075,9000002,2024-06-25,2024-07-07,30371.54,PAID
12000076,9000002,2024-07-25,2024-07-26,30371.54,PAID
12000077,9000002,2024-08-25,2024-09-02,30371.54,PAID
12000078,9000002,2024-09-25,2024-09-27,30371.54,PAID
12000079,9000002,2024-10-25,2024-10-30,30371.54,PAID
12000080,9000002,2024-11-25,2024-11-27,30371.54,PAID
12000081,9000002,2024-12-25,2024-12-25,30371.54,PAID
12000082,9000002,2025-01-25,2025-02-01,30371.54,PAID
12000083,9000002,2025-02-25,2025-02-27,30371.54,PAID
12000084,9000002,2025-03-25,2025-03-31,30371.54,PAID
12000085,9000002,2025-04-25,2025-05-02,30371.54,PAID
12000086,9000002,2025-05-25,2025-06-03,30371.54,PAID
12000087,9000002,2025-06-25,2025-07-03,30371.54,PAID
12000088,9000002,2025-07-25,2025-07-28,6794.85,PAID
12000089,9000002,2025-08-25,2025-08-30,30371.54,PAID
12000090,9000002,2025-09-25,2025-10-03,30371.54,PAID
12000091,9000002,2025-10-25,2025-10-31,30371.54,PAID
12000092,9000002,2025-11-25,2025-12-01,30371.54,PAID
12000093,9000002,2025-12-25,2026-01-08,30371.54,PAID
12000094,9000002,2026-01-25,2026-01-25,30371.54,PAID
12000095,9000002,2026-02-25,2026-03-08,30371.54,PAID
12000096,9000002,2026-03-25,2026-04-03,8981.45,PAID
12000097,9000002,2026-04-25,2026-05-04,30371.54,PAID
12000098,9000002,2026-05-25,2026-05-28,30371.54,PAID
12000099,9000002,2026-06-25,2026-07-05,52092.56,PAID
12000100,9000002,2026-07-25,2026-08-07,30371.54,PAID
12000101,9000002,2026-08-25,2026-09-09,30371.54,PAID
12000102,9000002,2026-09-25,2026-09-28,30371.54,PAID
12000103,9000002,2026-10-25,2026-10-29,30371.54,PAID
12000104,9000002,2026-11-25,2026-12-01,30371.54,PAID
12000105,9000002,2026-12-25,2027-01-07,30371.54,PAID
12000106,9000002,2027-01-25,2027-02-06,30371.54,PAID
12000107,9000002,2027-02-25,2027-03-09,30371.54,PAID
12000108,9000002,2027-03-25,2027-04-08,30371.54,PAID
12000109,9000002,2027-04-25,2027-05-06,30371.54,PAID
12000110,9000002,2027-05-25,2027-05-28,30371.54,PAID
12000111,9000002,2027-06-25,2027-06-30,30371.54,PAID
12000112,9000002,2027-07-25,2027-07-31,30371.54,PAID
12000113,9000002,2027-08-25,2027-09-06,30371.54,PAID
12000114,9000002,2027-09-25,2027-09-30,30371.54,PAID
12000115,9000002,2027-10-25,2027-11-06,30371.54,PAID
12000116,9000002,2027-11-25,2027-11-29,30371.54,PAID
12000117,9000002,2027-12-25,2027-12-29,30371.54,PAID
12000118,9000002,2028-01-25,2028-02-01,30371.54,PAID
12000119,9000002,2028-02-25,2028-03-02,30371.54,PAID
12000120,9000002,2028-03-25,2028-03-29,30371.54,PAID
12000121,9000002,2028-04-25,2028-05-10,30371.54,PAID
12000122,9000002,2028-05-25,2028-05-31,30371.54,PAID
12000123,9000002,2028-06-25,2028-06-27,23194.11,PAID
12000124,9000002,2028-07-25,2028-08-02,30371.54,PAID
12000125,9000002,2028-08-25,2028-09-08,30371.54,PAID
12000126,9000002,2028-09-25,2028-10-04,30371.54,PAID
12000127,9000002,2028-10-25,2028-11-06,30371.54,PAID
12000128,9000002,2028-11-25,2028-12-04,30371.54,PAID
12000129,9000002,2028-12-25,2029-01-07,30371.54,PAID
12000130,9000002,2029-01-25,2029-02-01,30371.54,PAID
12000131,9000002,2029-02-25,2029-02-26,30371.54,PAID
12000132,9000002,2029-03-25,2029-03-26,30371.54,PAID
12000133,9000002,2029-04-25,2029-04-26,30371.54,PAID
12000134,9000002,2029-05-25,2029-06-05,30371.54,PAID
12000135,9000002,2029-06-25,2029-07-08,30371.54,PAID
12000136,9000002,2029-07-25,2029-07-26,30371.54,PAID
12000137,9000002,2029-08-25,2029-09-04,30371.54,PAID
12000138,9000002,2029-09-25,2029-10-04,30371.54,PAID
12000139,9000002,2029-10-25,2029-11-08,30371.54,PAID
12000140,9000002,2029-11-25,2029-11-30,30371.54,PAID
12000141,9000002,2029-12-25,2029-12-26,30371.54,PAID
12000142,9000002,2030-01-25,2030-02-07,30371.54,PAID
12000143,9000002,2030-02-25,2030-03-11,51908.28,PAID
12000144,9000002,2030-03-25,2030-04-08,30371.54,PAID
12000145,9000002,2030-04-25,2030-04-27,30371.54,PAID
12000146,9000002,2030-05-25,2030-06-01,30371.54,PAID
12000147,9000002,2030-06-25,2030-06-29,30371.54,PAID
12000148,9000002,2030-07-25,2030-08-05,30371.54,PAID
12000149,9000002,2030-08-25,2030-09-04,30371.54,PAID
12000150,9000002,2030-09-25,2030-09-26,9360.72,PAID
12000151,9000002,2030-10-25,2030-11-04,30371.54,PAID
12000152,9000002,2030-11-25,2030-11-25,30371.54,PAID
12000153,9000002,2030-12-25,2030-12-28,30371.54,PAID
12000154,9000002,2031-01-25,2031-01-25,30371.54,PAID
12000155,9000002,2031-02-25,2031-03-10,30371.54,PAID
12000156,9000002,2031-03-25,2031-04-01,30371.54,PAID
12000157,9000002,2031-04-25,2031-04-26,30371.54,PAID
12000158,9000002,2031-05-25,2031-05-29,30371.54,PAID
12000159,9000002,2031-06-25,2031-07-06,30371.54,PAID
12000160,9000002,2031-07-25,2031-07-26,30371.54,PAID
12000161,9000002,2031-08-25,2031-09-09,30371.54,PAID
12000162,9000002,2031-09-25,2031-09-29,88981.68,PAID
12000163,9000002,2031-10-25,2031-11-09,30371.54,PAID
12000164,9000002,2031-11-25,2031-12-08,30371.54,PAID
12000165,9000002,2031-12-25,2031-12-29,66891.61,PAID
12000166,9000002,2032-01-25,2032-02-05,30371.54,PAID
12000167,9000002,2032-02-25,2032-02-27,81510.93,PAID
12000168,9000002,2032-03-25,2032-03-30,30371.54,PAID
12000169,9000002,2032-04-25,2032-05-10,30371.54,PAID
12000170,9000002,2032-05-25,2032-05-30,30371.54,PAID
12000171,9000002,2032-06-25,2032-07-06,30371.54,PAID
12000172,9000002,2032-07-25,2032-07-25,30371.54,PAID
12000173,9000002,2032-08-25,2032-09-03,63566.62,PAID
12000174,9000002,2032-09-25,2032-09-29,30371.54,PAID
12000175,9000002,2032-10-25,2032-10-31,30371.54,PAID
12000176,9000002,2032-11-25,2032-12-03,47256.13,PAID
12000177,9000002,2032-12-25,2033-01-09,30371.54,PAID
12000178,9000002,2033-01-25,2033-01-26,30371.54,PAID
12000179,9000002,2033-02-25,2033-03-07,63477.76,PAID
12000180,9000002,2033-03-25,2033-04-08,30371.54,PAID
12000181,9000003,2025-12-02,2025-12-10,32049.02,PAID
12000182,9000003,2026-01-02,2026-01-10,32049.02,PAID
12000183,9000003,2026-02-02,2026-02-10,32049.02,PAID
12000184,9000003,2026-03-02,2026-03-13,32049.02,PAID
12000185,9000003,2026-04-02,2026-04-15,32049.02,PAID
12000186,9000003,2026-05-02,2026-05-06,32049.02,PAID
12000187,9000003,2026-06-02,2026-06-08,32049.02,PAID
12000188,9000003,2026-07-02,2026-07-17,32049.02,PAID
12000189,9000003,2026-08-02,2026-08-09,32049.02,PAID
12000190,9000003,2026-09-02,2026-09-17,32049.02,PAID
12000191,9000003,2026-10-02,2026-10-15,32049.02,PAID
12000192,9000003,2026-11-02,2026-11-02,32049.02,PAID
12000193,9000003,2026-12-02,2026-12-17,32049.02,PAID
12000194,9000003,2027-01-02,2027-01-16,32049.02,PAID
12000195,9000003,2027-02-02,2027-02-06,32049.02,PAID
12000196,9000003,2027-03-02,2027-03-13,17756.46,PAID
12000197,9000003,2027-04-02,2027-04-14,32049.02,PAID
12000198,9000003,2027-05-02,2027-05-11,32049.02,PAID
12000199,9000003,2027-06-02,2027-06-10,32049.02,PAID
12000200,9000003,2027-07-02,2027-07-05,32049.02,PAID
12000201,9000003,2027-08-02,2027-08-16,32049.02,PAID
12000202,9000003,2027-09-02,2027-09-03,32049.02,PAID
12000203,9000003,2027-10-02,2027-10-06,32049.02,PAID
12000204,9000003,2027-11-02,2027-11-04,32049.02,PAID
12000205,9000003,2027-12-02,2027-12-03,32049.02,PAID
12000206,9000003,2028-01-02,2028-01-13,32049.02,PAID
12000207,9000003,2028-02-02,2028-02-15,32049.02,PAID
12000208,9000003,2028-03-02,2028-03-11,32049.02,PAID
12000209,9000003,2028-04-02,2028-04-07,32049.02,PAID
12000210,9000003,2028-05-02,2028-05-03,32049.02,PAID
12000211,9000003,2028-06-02,2028-06-17,32049.02,PAID
12000212,9000003,2028-07-02,2028-07-13,32049.02,PAID
12000213,9000003,2028-08-02,2028-08-03,32049.02,PAID
12000214,9000003,2028-09-02,2028-09-10,32049.02,PAID
12000215,9000003,2028-10-02,2028-10-11,32049.02,PAID
12000216,9000003,2028-11-02,2028-11-03,32049.02,PAID
12000217,9000003,2028-12-02,2028-12-14,32049.02,PAID
12000218,9000003,2029-01-02,2029-01-16,32049.02,PAID
12000219,9000003,2029-02-02,2029-02-11,32049.02,PAID
12000220,9000003,2029-03-02,2029-03-07,32049.02,PAID
12000221,9000003,2029-04-02,2029-04-11,32049.02,PAID
12000222,9000003,2029-05-02,2029-05-12,32049.02,PAID
12000223,9000003,2029-06-02,2029-06-04,32049.02,PAID
12000224,9000003,2029-07-02,2029-07-07,32049.02,PAID
12000225,9000003,2029-08-02,2029-08-13,32049.02,PAID
12000226,9000003,2029-09-02,2029-09-06,32049.02,PAID
12000227,9000003,2029-10-02,2029-10-08,32049.02,PAID
12000228,9000003,2029-11-02,2029-11-12,32049.02,PAID
12000229,9000003,2029-12-02,2029-12-06,32049.02,PAID
12000230,9000003,2030-01-02,2030-01-05,32049.02,PAID
12000231,9000003,2030-02-02,2030-02-10,32049.02,PAID
12000232,9000003,2030-03-02,2030-03-14,32049.02,PAID
12000233,9000003,2030-04-02,2030-04-09,32049.02,PAID
12000234,9000003,2030-05-02,2030-05-17,32049.02,PAID
12000235,9000003,2030-06-02,2030-06-17,32049.02,PAID
12000236,9000003,2030-07-02,2030-07-07,95398.8,PAID
12000237,9000003,2030-08-02,2030-08-02,32049.02,PAID
12000238,9000003,2030-09-02,2030-09-08,32049.02,PAID
12000239,9000003,2030-10-02,2030-10-14,32049.02,PAID
12000240,9000003,2030-11-02,2030-11-03,32049.02,PAID
12000241,9000003,2030-12-02,2030-12-15,32049.02,PAID
12000242,9000003,2031-01-02,2031-01-13,32049.02,PAID
12000243,9000003,2031-02-02,2031-02-05,32049.02,PAID
12000244,9000003,2031-03-02,2031-03-11,32049.02,PAID
12000245,9000003,2031-04-02,2031-04-13,32049.02,PAID
12000246,9000003,2031-05-02,2031-05-16,32049.02,PAID
12000247,9000003,2031-06-02,2031-06-09,32049.02,PAID
12000248,9000003,2031-07-02,2031-07-14,32049.02,PAID
12000249,9000003,2031-08-02,2031-08-04,32049.02,PAID
12000250,9000003,2031-09-02,2031-09-12,55938.9,PAID
12000251,9000003,2031-10-02,2031-10-07,32049.02,PAID
12000252,9000003,2031-11-02,2031-11-15,32049.02,PAID
12000253,9000003,2031-12-02,2031-12-16,32049.02,PAID
12000254,9000003,2032-01-02,2032-01-14,32049.02,PAID
12000255,9000003,2032-02-02,2032-02-08,32049.02,PAID
12000256,9000003,2032-03-02,2032-03-16,32049.02,PAID
12000257,9000003,2032-04-02,2032-04-02,32049.02,PAID
12000258,9000003,2032-05-02,2032-05-03,32049.02,PAID
12000259,9000003,2032-06-02,2032-06-08,32049.02,PAID
12000260,9000003,2032-07-02,2032-07-10,32049.02,PAID
12000261,9000003,2032-08-02,2032-08-06,67113.01,PAID
12000262,9000003,2032-09-02,2032-09-12,32049.02,PAID
12000263,9000003,2032-10-02,2032-10-17,32049.02,PAID
12000264,9000003,2032-11-02,2032-11-17,32049.02,PAID
12000265,9000003,2032-12-02,2032-12-14,56137.67,PAID
12000266,9000003,2033-01-02,2033-01-05,32049.02,PAID
12000267,9000003,2033-02-02,2033-02-12,32049.02,PAID
12000268,9000003,2033-03-02,2033-03-09,32049.02,PAID
12000269,9000003,2033-04-02,2033-04-07,32049.02,PAID
12000270,9000003,2033-05-02,2033-05-14,32049.02,PAID
12000271,9000003,2033-06-02,2033-06-02,32049.02,PAID
12000272,9000003,2033-07-02,2033-07-06,32049.02,PAID
12000273,9000003,2033-08-02,2033-08-08,32049.02,PAID
12000274,9000003,2033-09-02,2033-09-03,32049.02,PAID
12000275,9000003,2033-10-02,2033-10-05,21902.04,PAID
12000276,9000003,2033-11-02,2033-11-10,90912.3,PAID
12000277,9000003,2033-12-02,2033-12-03,32049.02,PAID
12000278,9000003,2034-01-02,2034-01-03,77806.11,PAID
12000279,9000003,2034-02-02,2034-02-03,32049.02,PAID
12000280,9000003,2034-03-02,2034-03-11,32049.02,PAID
12000281,9000003,2034-04-02,2034-04-16,32049.02,PAID
12000282,9000003,2034-05-02,2034-05-07,32049.02,PAID
12000283,9000003,2034-06-02,2034-06-14,32049.02,PAID
12000284,9000003,2034-07-02,2034-07-09,32049.02,PAID
12000285,9000003,2034-08-02,2034-08-04,32049.02,PAID
12000286,9000003,2034-09-02,2034-09-10,32049.02,PAID
12000287,9000003,2034-10-02,2034-10-11,32049.02,PAID
12000288,9000003,2034-11-02,2034-11-17,26548.12,PAID
12000289,9000003,2034-12-02,2034-12-02,32049.02,PAID
12000290,9000003,2035-01-02,2035-01-17,32049.02,PAID
12000291,9000003,2035-02-02,2035-02-17,32049.02,PAID
12000292,9000003,2035-03-02,2035-03-12,32049.02,PAID
12000293,9000003,2035-04-02,2035-04-09,32049.02,PAID
12000294,9000003,2035-05-02,2035-05-03,32049.02,PAID
12000295,9000003,2035-06-02,2035-06-09,32049.02,PAID
12000296,9000003,2035-07-02,2035-07-13,32049.02,PAID
12000297,9000003,2035-08-02,2035-08-08,32049.02,PAID
12000298,9000003,2035-09-02,2035-09-04,32049.02,PAID
12000299,9000003,2035-10-02,2035-10-11,32049.02,PAID
12000300,9000003,2035-11-02,2035-11-04,32049.02,PAID
12000301,9000004,2024-05-26,2024-05-29,53478.78,PAID
12000302,9000004,2024-06-26,2024-06-27,62690.28,PAID
12000303,9000004,2024-07-26,2024-08-02,62690.28,PAID
12000304,9000004,2024-08-26,,0.0,MISSED
12000305,9000004,2024-09-26,2024-10-07,62690.28,PAID
12000306,9000004,2024-10-26,,0.0,MISSED
12000307,9000004,2024-11-26,,0.0,MISSED
12000308,9000004,2024-12-26,2024-12-27,62690.28,PAID
12000309,9000004,2025-01-26,2025-02-07,62690.28,PAID
12000310,9000004,2025-02-26,2025-03-08,62690.28,PAID
12000311,9000004,2025-03-26,,0.0,MISSED
12000312,9000004,2025-04-26,,0.0,MISSED
12000313,9000004,2025-05-26,,0.0,MISSED
12000314,9000004,2025-06-26,,0.0,MISSED
12000315,9000004,2025-07-26,2025-08-03,62690.28,PAID
12000316,9000004,2025-08-26,2025-08-28,62690.28,PAID
12000317,9000004,2025-09-26,2025-09-29,62690.28,PAID
12000318,9000004,2025-10-26,2025-11-09,62690.28,PAID
12000319,9000004,2025-11-26,2025-12-04,62690.28,PAID
12000320,9000004,2025-12-26,,0.0,MISSED
12000321,9000004,2026-01-26,2026-01-30,62690.28,PAID
12000322,9000004,2026-02-26,,0.0,MISSED
12000323,9000004,2026-03-26,2026-03-29,62690.28,PAID
12000324,9000004,2026-04-26,,0.0,MISSED
12000325,9000004,2026-05-26,,0.0,MISSED
12000326,9000004,2026-06-26,,0.0,MISSED
12000327,9000004,2026-07-26,2026-07-31,62690.28,PAID
12000328,9000004,2026-08-26,,0.0,MISSED
12000329,9000004,2026-09-26,,0.0,MISSED
12000330,9000004,2026-10-26,2026-11-05,62690.28,PAID
12000331,9000004,2026-11-26,2026-12-01,62690.28,PAID
12000332,9000004,2026-12-26,2027-01-04,62690.28,PAID
12000333,9000004,2027-01-26,2027-01-26,62690.28,PAID
12000334,9000004,2027-02-26,,0.0,MISSED
12000335,9000004,2027-03-26,2027-04-04,62690.28,PAID
12000336,9000004,2027-04-26,,0.0,MISSED
12000337,9000004,2027-05-26,2027-06-10,62690.28,PAID
12000338,9000004,2027-06-26,2027-06-30,140502.88,PAID
12000339,9000004,2027-07-26,,0.0,MISSED
12000340,9000004,2027-08-26,,0.0,MISSED
12000341,9000004,2027-09-26,2027-10-02,62690.28,PAID
12000342,9000004,2027-10-26,,0.0,MISSED
12000343,9000004,2027-11-26,2027-12-05,62690.28,PAID
12000344,9000004,2027-12-26,,0.0,MISSED
12000345,9000004,2028-01-26,2028-02-10,94811.81,PAID
12000346,9000004,2028-02-26,,0.0,MISSED
12000347,9000004,2028-03-26,2028-03-31,62690.28,PAID
12000348,9000004,2028-04-26,,0.0,MISSED
12000349,9000004,2028-05-26,2028-06-10,62690.28,PAID
12000350,9000004,2028-06-26,2028-06-27,62690.28,PAID
12000351,9000004,2028-07-26,2028-08-08,62690.28,PAID
12000352,9000004,2028-08-26,2028-09-04,62690.28,PAID
12000353,9000004,2028-09-26,,0.0,MISSED
12000354,9000004,2028-10-26,,0.0,MISSED
12000355,9000004,2028-11-26,,0.0,MISSED
12000356,9000004,2028-12-26,2029-01-04,166436.91,PAID
12000357,9000004,2029-01-26,,0.0,MISSED
12000358,9000004,2029-02-26,2029-03-09,62690.28,PAID
12000359,9000004,2029-03-26,2029-04-05,62690.28,PAID
12000360,9000004,2029-04-26,2029-04-28,62690.28,PAID
12000361,9000004,2029-05-26,2029-06-09,62690.28,PAID
12000362,9000004,2029-06-26,,0.0,MISSED
12000363,9000004,2029-07-26,,0.0,MISSED
12000364,9000004,2029-08-26,2029-09-08,62690.28,PAID
12000365,9000004,2029-09-26,,0.0,MISSED
12000366,9000004,2029-10-26,,0.0,MISSED
12000367,9000004,2029-11-26,,0.0,MISSED
12000368,9000004,2029-12-26,2030-01-08,62690.28,PAID
12000369,9000004,2030-01-26,,0.0,MISSED
12000370,9000004,2030-02-26,2030-03-04,62690.28,PAID
12000371,9000004,2030-03-26,2030-04-07,62690.28,PAID
12000372,9000004,2030-04-26,2030-04-27,62690.28,PAID
12000373,9000004,2030-05-26,2030-05-30,62690.28,PAID
12000374,9000004,2030-06-26,,0.0,MISSED
12000375,9000004,2030-07-26,2030-08-07,62690.28,PAID
12000376,9000004,2030-08-26,,0.0,MISSED
12000377,9000004,2030-09-26,2030-10-11,62690.28,PAID
12000378,9000004,2030-10-26,,0.0,MISSED
12000379,9000004,2030-11-26,2030-11-27,176974.64,PAID
12000380,9000004,2030-12-26,2031-01-08,62690.28,PAID
12000381,9000004,2031-01-26,,0.0,MISSED
12000382,9000004,2031-02-26,,0.0,MISSED
12000383,9000004,2031-03-26,2031-04-04,62690.28,PAID
12000384,9000004,2031-04-26,,0.0,MISSED
12000385,9000004,2031-05-26,,0.0,MISSED
12000386,9000004,2031-06-26,,0.0,MISSED
12000387,9000004,2031-07-26,,0.0,MISSED
12000388,9000004,2031-08-26,2031-09-01,51247.22,PAID
12000389,9000004,2031-09-26,2031-10-08,49995.09,PAID
12000390,9000004,2031-10-26,2031-11-08,62690.28,PAID
12000391,9000004,2031-11-26,2031-11-26,62690.28,PAID
12000392,9000004,2031-12-26,2032-01-02,62690.28,PAID
12000393,9000004,2032-01-26,2032-02-07,62690.28,PAID
12000394,9000004,2032-02-26,2032-03-04,62690.28,PAID
12000395,9000004,2032-03-26,2032-04-03,62690.28,PAID
12000396,9000004,2032-04-26,2032-05-07,62690.28,PAID
12000397,9000004,2032-05-26,,0.0,MISSED
12000398,9000004,2032-06-26,,0.0,MISSED
12000399,9000004,2032-07-26,,0.0,MISSED
12000400,9000004,2032-08-26,2032-09-05,62690.28,PAID
12000401,9000004,2032-09-26,,0.0,MISSED
12000402,9000004,2032-10-26,2032-11-06,131368.42,PAID
12000403,9000004,2032-11-26,2032-11-29,62690.28,PAID
12000404,9000004,2032-12-26,,0.0,MISSED
12000405,9000004,2033-01-26,2033-02-02,132593.84,PAID
12000406,9000004,2033-02-26,2033-02-28,62690.28,PAID
12000407,9000004,2033-03-26,2033-04-06,62690.28,PAID
12000408,9000004,2033-04-26,,0.0,MISSED
12000409,9000004,2033-05-26,,0.0,MISSED
12000410,9000004,2033-06-26,2033-07-01,12790.6,PAID
12000411,9000004,2033-07-26,,0.0,MISSED
12000412,9000004,2033-08-26,2033-09-09,119373.1,PAID
12000413,9000004,2033-09-26,2033-10-05,62690.28,PAID
12000414,9000004,2033-10-26,2033-11-01,62690.28,PAID
12000415,9000004,2033-11-26,2033-11-30,62690.28,PAID
12000416,9000004,2033-12-26,2034-01-04,62690.28,PAID
12000417,9000004,2034-01-26,2034-02-05,62690.28,PAID
12000418,9000004,2034-02-26,2034-03-12,62690.28,PAID
12000419,9000004,2034-03-26,2034-04-07,62690.28,PAID
12000420,9000004,2034-04-26,,0.0,MISSED
12000421,9000005,2024-02-04,2024-02-18,314379.55,PAID
12000422,9000005,2024-03-04,2024-03-18,314379.55,PAID
12000423,9000005,2024-04-04,2024-04-07,314379.55,PAID
12000424,9000005,2024-05-04,2024-05-16,314379.55,PAID
12000425,9000005,2024-06-04,2024-06-17,314379.55,PAID
12000426,9000005,2024-07-04,2024-07-12,615909.56,PAID
12000427,9000005,2024-08-04,2024-08-15,507547.33,PAID
12000428,9000005,2024-09-04,2024-09-13,314379.55,PAID
12000429,9000005,2024-10-04,2024-10-18,314379.55,PAID
12000430,9000005,2024-11-04,2024-11-13,314379.55,PAID
12000431,9000005,2024-12-04,2024-12-06,314379.55,PAID
12000432,9000005,2025-01-04,2025-01-10,314379.55,PAID
12000433,9000005,2025-02-04,2025-02-19,314379.55,PAID
12000434,9000005,2025-03-04,2025-03-10,314379.55,PAID
12000435,9000005,2025-04-04,2025-04-07,314379.55,PAID
12000436,9000005,2025-05-04,2025-05-09,314379.55,PAID
12000437,9000005,2025-06-04,2025-06-18,314379.55,PAID
12000438,9000005,2025-07-04,2025-07-16,314379.55,PAID
12000439,9000005,2025-08-04,2025-08-04,314379.55,PAID
12000440,9000005,2025-09-04,2025-09-17,314379.55,PAID
12000441,9000005,2025-10-04,2025-10-07,314379.55,PAID
12000442,9000005,2025-11-04,2025-11-07,314379.55,PAID
12000443,9000005,2025-12-04,2025-12-09,314379.55,PAID
12000444,9000005,2026-01-04,2026-01-12,314379.55,PAID
12000445,9000005,2026-02-04,2026-02-12,314379.55,PAID
12000446,9000005,2026-03-04,2026-03-18,314379.55,PAID
12000447,9000005,2026-04-04,2026-04-06,314379.55,PAID
12000448,9000005,2026-05-04,2026-05-09,314379.55,PAID
12000449,9000005,2026-06-04,2026-06-16,314379.55,PAID
12000450,9000005,2026-07-04,2026-07-15,314379.55,PAID
12000451,9000005,2026-08-04,2026-08-10,314379.55,PAID
12000452,9000005,2026-09-04,2026-09-06,314379.55,PAID
12000453,9000005,2026-10-04,2026-10-10,314379.55,PAID
12000454,9000005,2026-11-04,2026-11-19,314379.55,PAID
12000455,9000005,2026-12-04,2026-12-19,314379.55,PAID
12000456,9000005,2027-01-04,2027-01-19,314379.55,PAID
12000457,9000006,2023-03-23,2023-03-28,32199.02,PAID
12000458,9000006,2023-04-23,2023-05-06,32199.02,PAID
12000459,9000006,2023-05-23,2023-05-31,32199.02,PAID
12000460,9000006,2023-06-23,2023-06-26,32199.02,PAID
12000461,9000006,2023-07-23,2023-08-05,87031.97,PAID
12000462,9000006,2023-08-23,2023-08-25,12572.26,PAID
12000463,9000006,2023-09-23,2023-10-06,32199.02,PAID
12000464,9000006,2023-10-23,2023-11-05,15134.52,PAID
12000465,9000006,2023-11-23,2023-11-24,32199.02,PAID
